d,mm	150	300	600	900	1500	2500	10000
3	2.5	2.5	2.8	2.8	3.1	3.6	4.9
6	2.7	2.8	3.1	3.2	3.6	4.6	7.2
9	2.9	3	3.3	3.6	4.2	5.6	9.6
12	3.1	3.3	3.6	4.1	4.8	6.6	12
15	3.3	3.5	3.8	4.5	5.3	7.7	14.3
18	3.5	3.7	4.1	5	5.9	8.7	16.7
21	3.7	4	4.3	5.4	6.4	9.7	19
24	3.9	4.2	4.6	5.9	7	10.7	21.4
27	4.1	4.4	4.9	6.4	7.5	11.7	23.7
31	4.3	4.7	5.1	6.7	8.3	13.1	26.9
35	4.6	5	5.3	6.9	9	14.5	30
40	4.9	5.3	5.6	7.2	9.9	16.2	33.9
45	5.2	5.7	5.9	7.5	10.8	17.9	37.9
50	5.5	6	6.2	7.8	11.8	19.6	41.8
55	5.6	6.2	6.5	8.3	12.7	21.3	45.7
60	5.7	6.4	6.8	8.8	13.6	23	49.6
65	5.8	6.5	7.2	9.3	14.5	24.7	53.6
70	5.9	6.7	7.5	9.9	15.5	26.4	57.5
75	6	6.9	7.9	10.4	16.4	28.1	61.4
80	6.1	7	8.2	10.9	17.3	29.8	65.3
85	6.2	7.2	8.5	11.4	18.2	31.5	69.3
90	6.3	7.4	8.9	11.9	19.1	33.2	73.2
95	6.4	7.5	9.2	12.5	20.1	34.9	77.1
100	6.5	7.7	9.5	13	21	36.6	81
110	6.5	8	10.2	14	22.8	40	88.9
120	6.7	8.4	10.9	15.1	24.7	43.4	96.7
130	6.8	8.7	11.6	16.1	26.5	46.9	104.6
140	7	9	12.2	17.2	28.4	50.3	112.4
150	7.1	9.4	12.9	18.2	30.2	53.7	120.3
160	7.3	9.7	13.6	19.3	32	57.1	128.1
170	7.5	10	14.3	20.3	33.9	60.5	136
180	7.6	10.3	14.9	21.3	35.7	63.9	143.8
190	7.8	10.7	15.6	22.4	37.6	67.3	151.7
200	8	11	16.3	23.4	39.4	70.7	159.5
210	8.1	11.3	17	24.5	41.3	74.1	167.4
220	8.3	11.7	17.6	25.5	43.1	77.5	175.2
230	8.4	12	18.3	26.6	45	80.9	183.1
240	8.6	12.3	19	27.6	46.8	84.4	190.9
250	8.8	12.7	19.7	28.7	48.6	87.8	198.8
260	8.9	13	20.3	29.7	50.5	91.2	206.6
270	9.1	13.3	21	30.8	52.3	94.6	214.5
280	9.3	13.6	21.7	31.8	54.2	98	222.3
290	9.4	14	22.4	32.8	56	101.4	230.2
300	9.6	14.3	23	33.9	57.9	104.8	238
310	9.8	14.6	23.7	34.9	59.7	108.2	245.9
320	9.9	15	24.4	36	61.6	111.6	253.7
330	10.1	15.3	25.1	37	63.4	115	261.6
340	10.2	15.6	25.7	38.1	65.2	118.4	269.4
350	10.4	16	26.4	39.1	67.1	121.9	277.2
360	10.6	16.3	27.1	40.2	68.9	125.3	285.1
370	10.7	16.6	27.8	41.2	70.8	128.7	292.9
380	10.9	16.9	28.4	42.2	72.6	132.1	300.8
390	11.1	17.3	29.1	43.3	74.5	135.5	308.6
400	11.2	17.6	29.8	44.3	76.3	138.9	316.5
410	11.4	17.9	30.5	45.4	78.2	142.3	324.3
420	11.5	18.3	31.1	46.4	80	145.7	332.2
430	11.7	18.6	31.8	47.5	81.8	149.1	340
440	11.9	18.9	32.5	48.5	83.7	152.5	347.9
450	12	19.3	33.2	49.6	85.5	155.9	355.7
460	12.2	19.6	33.8	50.6	87.4	159.4	363.6
470	12.4	19.9	34.5	51.7	89.2	162.8	371.4
480	12.5	20.2	35.2	52.1	91.1	166.2	379.3
490	12.7	20.6	35.9	53.7	92.9	169.6	387.1
500	12.9	20.9	36.5	54.8	94.8	173	395
510	13	21.2	37.2	55.8	96.6	176.4	402.8
520	13.2	21.6	37.9	56.9	98.4	179.8	410.7
530	13.3	21.9	38.6	57.9	100.3	183.2	418.5
540	13.5	22.2	39.2	59	102.1	186.6	426.4
550	13.7	22.6	39.9	60	104	190	434.2
560	13.8	22.9	40.6	61.1	105.8	193.4	442.1
570	14	23.2	41.3	62.1	107.7	196.9	449.9
580	14.2	23.5	41.9	63.1	109.5	200.3	457.8
590	14.3	23.9	42.6	64.2	111.4	203.7	465.6
600	14.5	24.2	43.3	65.2	113.2	207.1	473.5
610	14.6	24.5	44	66.3	115	210.5	481.3
620	14.8	24.9	44.6	67.3	116.9	213.9	489.2
630	15	25.2	45.3	68.4	118.7	217.3	497
640	15.1	25.5	46	69.4	120.6	220.7	504.9
650	15.3	25.9	46.7	70.5	122.4	224.1	512.7
660	15.5	26.2	47.3	71.5	124.3	227.5	520.6
670	15.6	26.5	48	72.5	126.1	230.9	528.4
680	15.8	26.8	48.7	73.6	128	234.4	536.3
690	15.9	27.2	49.4	74.6	129.8	237.8	544.1
700	16.1	27.5	50	75.7	131.6	241.2	552
710	16.3	27.8	50.7	76.7	133.5	244.6	559.8
720	16.4	28.2	51.4	77.8	135.3	248	567.7
730	16.6	28.5	52.1	78.8	137.2	251.4	575.5
740	16.8	28.8	52.7	79.9	139	254.8	583.4
750	16.9	29.2	53.4	80.9	140.9	258.2	591.2
760	17.1	29.5	54.1	82	142.7	261.6	599
770	17.3	29.8	54.8	83	144.6	265	606.9
780	17.4	30.1	55.4	84	146.4	268.4	614.7
790	17.6	30.5	56.1	85.1	148.2	271.9	622.6
800	17.7	30.8	56.8	86.1	150.1	275.3	630.4
820	18.1	31.5	58.1	88.2	153.8	282.1	646.1
840	18.4	32.1	59.5	90.3	157.5	288.9	661.8
860	18.7	32.8	60.8	92.4	161.1	295.7	677.5
880	19	33.4	62.2	94.5	164.8	302.5	693.2
900	19.4	34.1	63.5	96.6	168.5	309.4	708.9
920	19.7	34.8	64.9	98.7	172.2	316.2	724.6
940	20	35.4	66.2	100.8	175.9	323	740.3
960	20.3	36.1	67.6	102.9	179.6	329.6	756
980	20.7	36.7	68.9	104.9	183.3	336.6	771.7
1000	21	37.4	70.3	107	187	343.5	787.4
1020	21.3	38.1	71.6	109.1	190.7	350.3	803.1
1040	21.7	38.7	73	111.2	194.3	357.1	818.8
1060	22	39.4	74.3	113.3	198	363.9	834.5
1080	22.3	40	75.7	115.4	201.7	370.7	850.2
1100	22.6	40.7	77	117.5	205.4	377.5	865.9
1120	23	41.4	78.4	119.6	209.1	384.4	881.6
1140	23.3	42	79.7	121.7	212.8	391.2	897.3
1160	23.6	42.7	81.1	123.7	216.5	398	913
1180	23.9	43.3	82.4	125.8	220.2	404.8	928.7
1200	24.3	44	83.8	127.9	223.9	411.6	944.4
1220	24.6	44.7	85.1	130	227.5	418.5	960.1
1240	24.9	45.3	86.5	132.1	231.2	425.3	975.8
1260	25.2	46	87.8	134.2	234.9	432.1	991.5
1280	25.6	46.6	89.2	136.3	238.6	438.9	1007.2
1300	25.9	47.3	90.5	138.4	242.3	445.7	1022.9
1320	26.2	48	91.9	X	X	X	X
1340	26.5	48.6	93.2	X	X	X	X
1360	26.9	49.3	94.6	X	X	X	X
1380	27.2	49.9	95.9	X	X	X	X
1400	27.5	50.6	97.3	X	X	X	X
1420	27.8	51.3	98.6	X	X	X	X
1440	28.2	51.9	100	X	X	X	X
1460	28.5	52.6	101.3	X	X	X	X
1480	28.8	53.2	102.7	X	X	X	X
1500	29.2	53.9	104	X	X	X	X
